Feature,Type_feature,Hierarchy_feature,Interaction_feature,MutuallyExclusive_Feature,Num_LOC,Granularity_feature,Num_Smells,Project,Generator
TANKWAR,And-Mandatory,Parent,No-Dep,No-ME,1054,NA,0,TKW,AHEAD
PLATFORM,Abstract-Mandatory,Parent,No-Dep,No-ME,NA,NA,NA,TKW,AHEAD
PC,Alt-Mandatory,Child,Required,Mutually-Exclusive,666,Coarse,36,TKW,AHEAD
HANDY,Alt-Mandatory,Child,Required,Mutually-Exclusive,666,Coarse,37,TKW,AHEAD
TANKS,Abstract-Mandatory,Parent,No-Dep,No-ME,NA,NA,NA,TKW,AHEAD
USA_M1Abrams,Or-Mandatory,Child,No-Dep,No-ME,9,Fine,1,TKW,AHEAD
Germany-Leopard,Or-Mandatory,Child,No-Dep,No-ME,9,Fine,1,TKW,AHEAD
China-Type99,Or-Mandatory,Child,No-Dep,No-ME,9,Fine,1,TKW,AHEAD
LANGUAGE,Abstract-Mandatory,Parent,No-Dep,No-ME,NA,NA,NA,TKW,AHEAD
EN,Alt-Mandatory,Child,No-Dep,Mutually-Exclusive,19,Fine,0,TKW,AHEAD
DE,Alt-Mandatory,Child,No-Dep,Mutually-Exclusive,19,Fine,0,TKW,AHEAD
AI,Abstract-Mandatory,Parent,No-Dep,No-ME,NA,NA,NA,TKW,AHEAD
EASY,Alt-Mandatory,Child,No-Dep,Mutually-Exclusive,16,Fine,3,TKW,AHEAD
HARD,Alt-Mandatory,Child,No-Dep,Mutually-Exclusive,50,Fine,3,TKW,AHEAD
RECORD,Abstract-Optional,Parent,No-Dep,No-ME,29,NA,NA,TKW,AHEAD
RE_FUER_PC,Alt-Mandatory,Child,Requester,Mutually-Exclusive,183,Coarse,8,TKW,AHEAD
RE_FUER_HANDY,Alt-Mandatory,Child,Requester,Mutually-Exclusive,314,Coarse,8,TKW,AHEAD
EXPLODIEREN,And-Optional,Child,No-Dep,No-ME,147,Coarse,1,TKW,AHEAD
TOOLS,Abstract-Optional,Parent,Requester-Required,No-ME,88,NA,NA,TKW,AHEAD
BESCHLEUNIGUNG,Or-Mandatory,Child,No-Dep,No-ME,51,Fine,3,TKW,AHEAD
EINFRIEREN,Or-Mandatory,Child,No-Dep,No-ME,56,Fine,3,TKW,AHEAD
BOMBE,Or-Mandatory,Child,No-Dep,No-ME,43,Fine,3,TKW,AHEAD
ENERGIE,Or-Mandatory,Child,No-Dep,No-ME,32,Fine,3,TKW,AHEAD
FEUCRKRAFT,Or-Mandatory,Child,No-Dep,No-ME,50,Fine,3,TKW,AHEAD
MARS,Or-Mandatory,Child,No-Dep,No-ME,51,Fine,3,TKW,AHEAD
SOUNDEFFECT,And-Optional,Parent,No-Dep,No-ME,NA,NA,0,TKW,AHEAD
SOUND_FUER_PC,Alt-Mandatory,Child,Requester,Mutually-Exclusive,120,Coarse,5,TKW,AHEAD
SOUND_FUER_HANDY,Alt-Mandatory,Child,Requester,Mutually-Exclusive,160,Coarse,6,TKW,AHEAD
GUI,Abstract-Mandatory,Parent,No-Dep,No-ME,NA,NA,NA,TKW,AHEAD
MAP_S,Abstract-Mandatory,Parent,No-Dep,No-ME,NA,NA,NA,TKW,AHEAD
M_240,Alt-Mandatory,Child,No-Dep,Mutually-Exclusive,6,Fine,1,TKW,AHEAD
M_600,Alt-Mandatory,Child,No-Dep,Mutually-Exclusive,6,Fine,1,TKW,AHEAD
M_780,Alt-Mandatory,Child,No-Dep,Mutually-Exclusive,6,Fine,1,TKW,AHEAD
IMAGE,And-Optional,Parent,Requester-required,No-ME,141,NA,0,TKW,AHEAD
FUER_PC,And-Optional,Child,Requester-required,No-ME,325,Coarse,3,TKW,AHEAD
FUER_HANDY,And-Optional,Child,Requester-required,No-ME,325,Coarse,3,TKW,AHEAD
IMG_TOOL,And-Optional,Child,Requester-required,No-ME,24,Coarse,0,TKW,AHEAD
Base,And-Mandatory,Child,No-Dep,No-ME,723,Coarse,7,ELV,FH
Weight,And-Optional,Child,Required,No-ME,14,Coarse,1,ELV,FH
 Empty,And-Optional,Child,No-Dep,No-ME,69,Fine,6,ELV,FH
Twothirdsfull,And-Optional,Child,Requester,No-ME,39,Coarse,2,ELV,FH
Executivefloor,And-Optional,Child,No-Dep,No-ME,31,Coarse,2,ELV,FH
Overloaded,And-Optional,Child,Requester,No-ME,24,Coarse,0,ELV,FH
Base,And-Mandatory,Child,No-Dep,No-ME,2187,Coarse,7,ZPM,AHEAD
Compression,Abstract-Mandatory,Parent,No-Dep,No-ME,NA,NA,0,ZPM,AHEAD
Compress,And-Mandatory,Child,No-Dep,MultuallyExclusive,925,Coarse,9,ZPM,AHEAD
GZIP,And-Optional,Child,No-Dep,MultuallyExclusive,147,Coarse,6,ZPM,AHEAD
Extract,And-Optional,Child,No-Dep,MultuallyExclusive,270,Coarse,5,ZPM,AHEAD
ArchiveCheck,And-Optional,Child,No-Dep,No-ME,13,Fine,0,ZPM,AHEAD
Checksum,Abstract-Mandatory,Parent,No-Dep,No-ME,NA,NA,0,ZPM,AHEAD
CRC,And-Optional,Child,Required,MultuallyExclusive,53,Coarse,0,ZPM,AHEAD
Adler32Checksum,And-Optional,Child,No-Dep,MultuallyExclusive,107,Coarse,0,ZPM,AHEAD
Derivatives,Abstract-Optional,Parent,No-Dep,No-ME,NA,NA,0,ZPM,AHEAD
DerivativeGZIPCRC,And-Optional,Child,No-Dep,MultuallyExclusive,24,Coarse,0,ZPM,AHEAD
